name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
trisolv,no-args,no-args,,yes,N/A,no
deriche,no-args,no-args,,yes,N/A,no
gemm,no-args,no-args,,yes,N/A,no
syr2k,no-args,no-args,,yes,N/A,no
floyd-warshall,no-args,no-args,,yes,N/A,no
2mm,no-args,no-args,,yes,N/A,no
cholesky,no-args,no-args,,yes,N/A,no
heat-3d,no-args,no-args,,yes,N/A,no
gesummv,no-args,no-args,,yes,N/A,no
covariance,no-args,no-args,,yes,N/A,no
adi,no-args,no-args,,yes,N/A,no
doitgen,no-args,no-args,,yes,N/A,no
gramschmidt,no-args,no-args,,yes,N/A,no
bicg,no-args,no-args,,yes,N/A,no
durbin,no-args,no-args,,yes,N/A,no
seidel-2d,no-args,no-args,,yes,N/A,no
gemver,no-args,no-args,,yes,N/A,no
trmm,no-args,no-args,,yes,N/A,no
nussinov,no-args,no-args,,yes,N/A,no
syrk,no-args,no-args,,yes,N/A,no
3mm,no-args,no-args,,yes,N/A,no
jacobi-1d,no-args,no-args,,yes,N/A,no
jacobi-2d,no-args,no-args,,yes,N/A,no
lu,no-args,no-args,,yes,N/A,no
ludcmp,no-args,no-args,,yes,N/A,no
atax,no-args,no-args,,yes,N/A,no
symm,no-args,no-args,,yes,N/A,no
correlation,no-args,no-args,,yes,N/A,no
fdtd-2d,no-args,no-args,,yes,N/A,no
mvt,no-args,no-args,,yes,N/A,no
trisolv,scf-to-affine,scf-to-affine,,yes,N/A,no
deriche,scf-to-affine,scf-to-affine,,yes,N/A,no
gemm,scf-to-affine,scf-to-affine,,yes,N/A,no
syr2k,scf-to-affine,scf-to-affine,,yes,N/A,no
floyd-warshall,scf-to-affine,scf-to-affine,,yes,N/A,no
2mm,scf-to-affine,scf-to-affine,,yes,N/A,no
cholesky,scf-to-affine,scf-to-affine,,yes,N/A,no
heat-3d,scf-to-affine,scf-to-affine,,yes,N/A,no
gesummv,scf-to-affine,scf-to-affine,,yes,N/A,no
covariance,scf-to-affine,scf-to-affine,,yes,N/A,no
adi,scf-to-affine,scf-to-affine,,yes,N/A,no
doitgen,scf-to-affine,scf-to-affine,,yes,N/A,no
gramschmidt,scf-to-affine,scf-to-affine,,yes,N/A,no
bicg,scf-to-affine,scf-to-affine,,yes,N/A,no
durbin,scf-to-affine,scf-to-affine,,yes,N/A,no
seidel-2d,scf-to-affine,scf-to-affine,,yes,N/A,no
gemver,scf-to-affine,scf-to-affine,,yes,N/A,no
trmm,scf-to-affine,scf-to-affine,,yes,N/A,no
nussinov,scf-to-affine,scf-to-affine,,yes,N/A,no
syrk,scf-to-affine,scf-to-affine,,yes,N/A,no
3mm,scf-to-affine,scf-to-affine,,yes,N/A,no
jacobi-1d,scf-to-affine,scf-to-affine,,yes,N/A,no
jacobi-2d,scf-to-affine,scf-to-affine,,yes,N/A,no
lu,scf-to-affine,scf-to-affine,,yes,N/A,no
ludcmp,scf-to-affine,scf-to-affine,,yes,N/A,no
atax,scf-to-affine,scf-to-affine,,yes,N/A,no
symm,scf-to-affine,scf-to-affine,,yes,N/A,no
correlation,scf-to-affine,scf-to-affine,,yes,N/A,no
fdtd-2d,scf-to-affine,scf-to-affine,,yes,N/A,no
