name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
matmul,llvm19-affine-loops,affine-loops,llvm19,yes,N/A,no
conv2d,llvm19-affine-loops,affine-loops,llvm19,yes,N/A,no
matmul,llvm19-loops,loops,llvm19,yes,N/A,no
conv2d,llvm19-loops,loops,llvm19,yes,N/A,no
matmul,llvm19-parallel-loops,parallel-loops,llvm19,yes,N/A,no
conv2d,llvm19-parallel-loops,parallel-loops,llvm19,yes,N/A,no
matmul,llvm19-generic-parallel,generic-parallel,llvm19,yes,N/A,no
conv2d,llvm19-generic-parallel,generic-parallel,llvm19,yes,N/A,no
matmul,llvm21-affine-loops,affine-loops,llvm21,yes,N/A,no
conv2d,llvm21-affine-loops,affine-loops,llvm21,yes,N/A,no
matmul,llvm21-loops,loops,llvm21,yes,N/A,no
conv2d,llvm21-loops,loops,llvm21,yes,N/A,no
matmul,llvm21-parallel-loops,parallel-loops,llvm21,yes,N/A,no
conv2d,llvm21-parallel-loops,parallel-loops,llvm21,yes,N/A,no
matmul,llvm21-generic-parallel,generic-parallel,llvm21,yes,N/A,no
conv2d,llvm21-generic-parallel,generic-parallel,llvm21,yes,N/A,no
matmul,llvm23-affine-loops,affine-loops,llvm23,yes,N/A,no
conv2d,llvm23-affine-loops,affine-loops,llvm23,yes,N/A,no
matmul,llvm23-loops,loops,llvm23,yes,N/A,no
conv2d,llvm23-loops,loops,llvm23,yes,N/A,no
matmul,llvm23-parallel-loops,parallel-loops,llvm23,yes,N/A,no
conv2d,llvm23-parallel-loops,parallel-loops,llvm23,yes,N/A,no
matmul,llvm23-generic-parallel,generic-parallel,llvm23,yes,N/A,no
conv2d,llvm23-generic-parallel,generic-parallel,llvm23,yes,N/A,no
