name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
2mm,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.139583,4.441793,0.131231,43273,1505910,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
symm,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/symm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.115285,0.292914,0.012182,26508,95221,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/symm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
ludcmp,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/ludcmp-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/ludcmp-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.220458,0.546111,0.015113,76646,194120,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/ludcmp-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/ludcmp-8-translated-noasyncepilogue.c ""A,B,x,y"""
gramschmidt,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.198854,0.419419,0.011898,59167,150471,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
mvt,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.029751,0.064399,0.002747,9945,25956,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
cholesky,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.121914,0.279798,0.007553,36172,91122,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
deriche,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/deriche-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
jacobi-2d,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.561249,1.476981,0.051808,98698,537751,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
trisolv,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.008657,0.017445,0.000988,2597,6668,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
syrk,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.108668,0.249907,0.008942,31899,89270,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
durbin,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
atax,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.029117,0.066874,0.004964,9993,25966,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
lu,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.265832,0.486873,0.013593,69052,173942,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/lu-8-translated-noasyncepilogue.c ""A"""
heat-3d,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.850760,1.973445,0.115178,73099,605591,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
gesummv,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.015079,0.034697,0.002264,3839,13001,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
covariance,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
adi,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/adi-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/adi-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
3mm,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.225705,7.094725,0.170915,70226,2446497,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
doitgen,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/doitgen-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
