nameoutput_dir,all_pass,fail_command,flag_did_nothing
trisolv,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
doitgen,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
lu,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
3mm,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
covariance,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
syrk,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
trmm,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
bicg,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
cholesky,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
gesummv,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
atax,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
mvt,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
2mm,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
gemm,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
gemver,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
syr2k,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,yes,N/A,yes
trisolv,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
doitgen,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
lu,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
3mm,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
covariance,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
syrk,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
