nameoutput_dir,all_pass,fail_command,flag_did_nothing
trisolv,converted-affine-options/affine-loop-fusion,yes,N/A,yes
doitgen,converted-affine-options/affine-loop-fusion,yes,N/A,yes
correlation,converted-affine-options/affine-loop-fusion,no,verif-translate --translate-to-past converted-affine-options/affine-loop-fusion/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-loop-fusion,yes,N/A,yes
lu,converted-affine-options/affine-loop-fusion,yes,N/A,yes
3mm,converted-affine-options/affine-loop-fusion,yes,N/A,yes
covariance,converted-affine-options/affine-loop-fusion,yes,N/A,yes
syrk,converted-affine-options/affine-loop-fusion,yes,N/A,yes
trmm,converted-affine-options/affine-loop-fusion,yes,N/A,yes
bicg,converted-affine-options/affine-loop-fusion,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-loop-fusion,yes,N/A,yes
cholesky,converted-affine-options/affine-loop-fusion,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-loop-fusion,yes,N/A,yes
gesummv,converted-affine-options/affine-loop-fusion,yes,N/A,yes
atax,converted-affine-options/affine-loop-fusion,yes,N/A,yes
mvt,converted-affine-options/affine-loop-fusion,yes,N/A,yes
2mm,converted-affine-options/affine-loop-fusion,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-loop-fusion,yes,N/A,yes
heat-3d,converted-affine-options/affine-loop-fusion,yes,N/A,yes
nussinov,converted-affine-options/affine-loop-fusion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-loop-fusion,yes,N/A,yes
gemm,converted-affine-options/affine-loop-fusion,yes,N/A,yes
gemver,converted-affine-options/affine-loop-fusion,yes,N/A,yes
syr2k,converted-affine-options/affine-loop-fusion,yes,N/A,yes
trisolv,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
doitgen,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
correlation,converted-affine-options/affine-loop-inv-code-motion,no,verif-translate --translate-to-past converted-affine-options/affine-loop-inv-code-motion/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
lu,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
3mm,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
covariance,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
syrk,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
trmm,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
bicg,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
cholesky,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
gesummv,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
atax,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
mvt,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
2mm,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
heat-3d,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
nussinov,converted-affine-options/affine-loop-inv-code-motion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
gemm,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
gemver,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
syr2k,converted-affine-options/affine-loop-inv-code-motion,yes,N/A,yes
trisolv,converted-affine-options/affine-normalize,yes,N/A,no
doitgen,converted-affine-options/affine-normalize,yes,N/A,yes
correlation,converted-affine-options/affine-normalize,no,verif-translate --translate-to-past converted-affine-options/affine-normalize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-normalize,yes,N/A,yes
lu,converted-affine-options/affine-normalize,yes,N/A,yes
3mm,converted-affine-options/affine-normalize,yes,N/A,yes
covariance,converted-affine-options/affine-normalize,yes,N/A,yes
syrk,converted-affine-options/affine-normalize,yes,N/A,yes
trmm,converted-affine-options/affine-normalize,yes,N/A,yes
bicg,converted-affine-options/affine-normalize,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-normalize,yes,N/A,yes
cholesky,converted-affine-options/affine-normalize,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-normalize,yes,N/A,yes
gesummv,converted-affine-options/affine-normalize,yes,N/A,yes
atax,converted-affine-options/affine-normalize,yes,N/A,yes
mvt,converted-affine-options/affine-normalize,yes,N/A,yes
2mm,converted-affine-options/affine-normalize,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-normalize,yes,N/A,yes
heat-3d,converted-affine-options/affine-normalize,yes,N/A,yes
nussinov,converted-affine-options/affine-normalize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-normalize,yes,N/A,yes
gemm,converted-affine-options/affine-normalize,yes,N/A,yes
gemver,converted-affine-options/affine-normalize,yes,N/A,yes
syr2k,converted-affine-options/affine-normalize,yes,N/A,yes
trisolv,converted-affine-options/affine-tile,yes,N/A,yes
doitgen,converted-affine-options/affine-tile,yes,N/A,yes
correlation,converted-affine-options/affine-tile,no,verif-translate --translate-to-past converted-affine-options/affine-tile/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-tile,yes,N/A,yes
lu,converted-affine-options/affine-tile,no,"mlir-opt converted-affine-options/affine-tile/lu-3-after-inline.mlir --affine-loop-tile=""tile-size=32"""
3mm,converted-affine-options/affine-tile,yes,N/A,yes
covariance,converted-affine-options/affine-tile,yes,N/A,yes
syrk,converted-affine-options/affine-tile,yes,N/A,yes
trmm,converted-affine-options/affine-tile,yes,N/A,yes
bicg,converted-affine-options/affine-tile,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-tile,yes,N/A,yes
cholesky,converted-affine-options/affine-tile,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-tile,yes,N/A,yes
gesummv,converted-affine-options/affine-tile,yes,N/A,yes
atax,converted-affine-options/affine-tile,yes,N/A,yes
mvt,converted-affine-options/affine-tile,yes,N/A,yes
2mm,converted-affine-options/affine-tile,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-tile,yes,N/A,yes
heat-3d,converted-affine-options/affine-tile,yes,N/A,yes
nussinov,converted-affine-options/affine-tile,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-tile,yes,N/A,yes
gemm,converted-affine-options/affine-tile,yes,N/A,yes
gemver,converted-affine-options/affine-tile,yes,N/A,yes
syr2k,converted-affine-options/affine-tile,yes,N/A,yes
trisolv,converted-affine-options/affine-unroll,yes,N/A,no
doitgen,converted-affine-options/affine-unroll,yes,N/A,no
correlation,converted-affine-options/affine-unroll,no,verif-translate --translate-to-past converted-affine-options/affine-unroll/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-unroll,yes,N/A,yes
lu,converted-affine-options/affine-unroll,yes,N/A,yes
3mm,converted-affine-options/affine-unroll,yes,N/A,yes
covariance,converted-affine-options/affine-unroll,yes,N/A,yes
syrk,converted-affine-options/affine-unroll,yes,N/A,yes
trmm,converted-affine-options/affine-unroll,yes,N/A,yes
bicg,converted-affine-options/affine-unroll,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-unroll,yes,N/A,yes
cholesky,converted-affine-options/affine-unroll,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-unroll,yes,N/A,yes
gesummv,converted-affine-options/affine-unroll,yes,N/A,yes
atax,converted-affine-options/affine-unroll,yes,N/A,yes
mvt,converted-affine-options/affine-unroll,yes,N/A,yes
2mm,converted-affine-options/affine-unroll,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-unroll,yes,N/A,yes
heat-3d,converted-affine-options/affine-unroll,yes,N/A,yes
nussinov,converted-affine-options/affine-unroll,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-unroll,yes,N/A,yes
gemm,converted-affine-options/affine-unroll,yes,N/A,yes
gemver,converted-affine-options/affine-unroll,yes,N/A,yes
syr2k,converted-affine-options/affine-unroll,yes,N/A,yes
trisolv,converted-affine-options/affine-unroll-jam,yes,N/A,yes
doitgen,converted-affine-options/affine-unroll-jam,yes,N/A,yes
correlation,converted-affine-options/affine-unroll-jam,no,verif-translate --translate-to-past converted-affine-options/affine-unroll-jam/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-unroll-jam,yes,N/A,yes
lu,converted-affine-options/affine-unroll-jam,yes,N/A,yes
3mm,converted-affine-options/affine-unroll-jam,yes,N/A,yes
covariance,converted-affine-options/affine-unroll-jam,yes,N/A,yes
syrk,converted-affine-options/affine-unroll-jam,yes,N/A,yes
trmm,converted-affine-options/affine-unroll-jam,yes,N/A,yes
bicg,converted-affine-options/affine-unroll-jam,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-unroll-jam,yes,N/A,yes
cholesky,converted-affine-options/affine-unroll-jam,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-unroll-jam,yes,N/A,yes
gesummv,converted-affine-options/affine-unroll-jam,yes,N/A,yes
atax,converted-affine-options/affine-unroll-jam,yes,N/A,yes
mvt,converted-affine-options/affine-unroll-jam,yes,N/A,yes
2mm,converted-affine-options/affine-unroll-jam,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-unroll-jam,yes,N/A,yes
heat-3d,converted-affine-options/affine-unroll-jam,yes,N/A,yes
nussinov,converted-affine-options/affine-unroll-jam,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-unroll-jam,yes,N/A,yes
gemm,converted-affine-options/affine-unroll-jam,yes,N/A,yes
gemver,converted-affine-options/affine-unroll-jam,yes,N/A,yes
syr2k,converted-affine-options/affine-unroll-jam,yes,N/A,yes
trisolv,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
doitgen,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
correlation,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,no,verif-translate --translate-to-past converted-affine-options/affine-no-polymer-tile-and-unroll-jam/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
lu,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
3mm,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
covariance,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
syrk,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
trmm,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
bicg,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
floyd-warshall,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
cholesky,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
jacobi-1d,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gesummv,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
atax,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
mvt,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
2mm,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
fdtd-2d,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
heat-3d,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
nussinov,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gemm,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gemver,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
syr2k,converted-affine-options/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
trisolv,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
doitgen,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
correlation,converted-affine-options/affine-no-polymer-fuse-and-tile,no,verif-translate --translate-to-past converted-affine-options/affine-no-polymer-fuse-and-tile/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
lu,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
3mm,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
covariance,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
syrk,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
trmm,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
bicg,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
floyd-warshall,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
cholesky,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
jacobi-1d,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
gesummv,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
atax,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
mvt,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
2mm,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
fdtd-2d,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
heat-3d,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
nussinov,converted-affine-options/affine-no-polymer-fuse-and-tile,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
gemm,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
gemver,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
syr2k,converted-affine-options/affine-no-polymer-fuse-and-tile,yes,N/A,no
trisolv,converted-affine-options/affine-parallelize,yes,N/A,no
doitgen,converted-affine-options/affine-parallelize,yes,N/A,no
correlation,converted-affine-options/affine-parallelize,no,verif-translate --translate-to-past converted-affine-options/affine-parallelize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-parallelize,yes,N/A,yes
lu,converted-affine-options/affine-parallelize,yes,N/A,yes
3mm,converted-affine-options/affine-parallelize,yes,N/A,yes
covariance,converted-affine-options/affine-parallelize,yes,N/A,yes
syrk,converted-affine-options/affine-parallelize,yes,N/A,yes
trmm,converted-affine-options/affine-parallelize,yes,N/A,yes
bicg,converted-affine-options/affine-parallelize,yes,N/A,yes
floyd-warshall,converted-affine-options/affine-parallelize,yes,N/A,yes
cholesky,converted-affine-options/affine-parallelize,yes,N/A,yes
jacobi-1d,converted-affine-options/affine-parallelize,yes,N/A,yes
gesummv,converted-affine-options/affine-parallelize,yes,N/A,yes
atax,converted-affine-options/affine-parallelize,yes,N/A,yes
mvt,converted-affine-options/affine-parallelize,yes,N/A,yes
2mm,converted-affine-options/affine-parallelize,yes,N/A,yes
fdtd-2d,converted-affine-options/affine-parallelize,yes,N/A,yes
heat-3d,converted-affine-options/affine-parallelize,yes,N/A,yes
nussinov,converted-affine-options/affine-parallelize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-parallelize,yes,N/A,yes
gemm,converted-affine-options/affine-parallelize,yes,N/A,yes
gemver,converted-affine-options/affine-parallelize,yes,N/A,yes
syr2k,converted-affine-options/affine-parallelize,yes,N/A,yes
trisolv,converted-affine-options/affine-all,yes,N/A,no
doitgen,converted-affine-options/affine-all,yes,N/A,no
correlation,converted-affine-options/affine-all,no,verif-translate --translate-to-past converted-affine-options/affine-all/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-all,yes,N/A,no
lu,converted-affine-options/affine-all,no,mlir-opt converted-affine-options/affine-all/lu-3-after-inline.mlir --affine-loop-unroll --affine-loop-unroll-jam --affine-loop-tile --affine-parallelize --affine-loop-invariant-code-motion --affine-loop-fusion --affine-loop-normalize
3mm,converted-affine-options/affine-all,yes,N/A,no
covariance,converted-affine-options/affine-all,no,verif-translate --translate-to-past converted-affine-options/affine-all/covariance-6-after-conversion.mlir
syrk,converted-affine-options/affine-all,yes,N/A,no
trmm,converted-affine-options/affine-all,yes,N/A,no
bicg,converted-affine-options/affine-all,yes,N/A,no
floyd-warshall,converted-affine-options/affine-all,yes,N/A,no
cholesky,converted-affine-options/affine-all,no,verif-translate --translate-to-past converted-affine-options/affine-all/cholesky-6-after-conversion.mlir
jacobi-1d,converted-affine-options/affine-all,yes,N/A,no
gesummv,converted-affine-options/affine-all,yes,N/A,no
atax,converted-affine-options/affine-all,yes,N/A,no
mvt,converted-affine-options/affine-all,yes,N/A,no
2mm,converted-affine-options/affine-all,yes,N/A,no
fdtd-2d,converted-affine-options/affine-all,yes,N/A,no
heat-3d,converted-affine-options/affine-all,yes,N/A,no
nussinov,converted-affine-options/affine-all,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-all,yes,N/A,no
gemm,converted-affine-options/affine-all,yes,N/A,no
gemver,converted-affine-options/affine-all,yes,N/A,no
syr2k,converted-affine-options/affine-all,yes,N/A,no
trisolv,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
doitgen,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
correlation,converted-affine-options/affine-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options/affine-all-except-parallelize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
lu,converted-affine-options/affine-all-except-parallelize,no,mlir-opt converted-affine-options/affine-all-except-parallelize/lu-3-after-inline.mlir --affine-loop-unroll --affine-loop-unroll-jam --affine-loop-tile --affine-parallelize --affine-loop-invariant-code-motion --affine-loop-fusion --affine-loop-normalize
3mm,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
covariance,converted-affine-options/affine-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options/affine-all-except-parallelize/covariance-6-after-conversion.mlir
syrk,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
trmm,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
bicg,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
floyd-warshall,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
cholesky,converted-affine-options/affine-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options/affine-all-except-parallelize/cholesky-6-after-conversion.mlir
jacobi-1d,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
gesummv,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
atax,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
mvt,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
2mm,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
fdtd-2d,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
heat-3d,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
nussinov,converted-affine-options/affine-all-except-parallelize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
gemm,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
gemver,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
syr2k,converted-affine-options/affine-all-except-parallelize,yes,N/A,no
