nameoutput_dir,all_pass,fail_command,flag_did_nothing
trisolv,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,no
doitgen,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,no
correlation,converted-benches-max-nested-1/converted-benches-max-nested-1,no,verif-translate --translate-to-past converted-benches-max-nested-1/converted-benches-max-nested-1/correlation-6-after-conversion.mlir
seidel-2d,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
lu,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
3mm,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
covariance,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
syrk,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
trmm,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
bicg,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
floyd-warshall,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
cholesky,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
jacobi-1d,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
gesummv,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
atax,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
mvt,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
2mm,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
durbin,converted-benches-max-nested-1/converted-benches-max-nested-1,no,verif-opt --verif-scf-parallel-to-async converted-benches-max-nested-1/converted-benches-max-nested-1/durbin-5-after-loweraffine.mlir
deriche,converted-benches-max-nested-1/converted-benches-max-nested-1,no,verif-opt --verif-scf-parallel-to-async converted-benches-max-nested-1/converted-benches-max-nested-1/deriche-5-after-loweraffine.mlir
fdtd-2d,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
gramschmidt,converted-benches-max-nested-1/converted-benches-max-nested-1,no,verif-opt --verif-scf-parallel-to-async converted-benches-max-nested-1/converted-benches-max-nested-1/gramschmidt-5-after-loweraffine.mlir
heat-3d,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
nussinov,converted-benches-max-nested-1/converted-benches-max-nested-1,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
gemm,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
symm,converted-benches-max-nested-1/converted-benches-max-nested-1,no,mlir-opt --inline converted-benches-max-nested-1/converted-benches-max-nested-1/symm-2-after-polymer.mlir
ludcmp,converted-benches-max-nested-1/converted-benches-max-nested-1,no,mlir-opt --inline converted-benches-max-nested-1/converted-benches-max-nested-1/ludcmp-2-after-polymer.mlir
gemver,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
syr2k,converted-benches-max-nested-1/converted-benches-max-nested-1,yes,N/A,yes
