name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
2mm,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.145099,0.335223,0.010113,43273,116631,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
mvt,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.028471,0.063422,0.002431,9945,25956,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
cholesky,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.125329,0.254409,0.007392,36172,91122,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
jacobi-2d,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.545722,1.612385,0.048476,98698,537751,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
trisolv,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.008683,0.017636,0.001032,2597,6668,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
syrk,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.107433,0.252760,0.008699,31899,89270,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
atax,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.027824,0.062821,0.002403,9993,25966,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
lu,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.230224,0.487984,0.013315,69052,174102,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c ""A"""
heat-3d,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c,fail,no,no,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
gesummv,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.014674,0.033926,0.001773,3839,13001,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
covariance,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.151877,0.332442,0.009896,47630,118848,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
