name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
atax,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.063154,0.064769,0.002595,25966,25966,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
adi,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,1.392154,1.398621,0.053852,526487,526487,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
cholesky,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.253330,0.247544,0.007179,91122,91122,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
fdtd-2d,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,1.131907,1.096904,0.037794,402583,402583,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
2mm,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.329335,0.319456,0.009920,116631,116631,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
covariance,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.321712,0.314589,0.009024,118848,118848,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
gesummv,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.033567,0.034335,0.002020,13001,13001,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
doitgen,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.288121,0.286219,0.007033,101357,101357,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
syrk,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.249238,0.243083,0.008635,89270,89270,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
floyd-warshall,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,5.555719,5.562033,0.203969,1958662,1958662,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
