name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
syrk,llvm19-no-args,no-args,llvm19,yes,N/A,yes
gemm,llvm19-no-args,no-args,llvm19,yes,N/A,yes
3mm,llvm19-no-args,no-args,llvm19,yes,N/A,yes
doitgen,llvm19-no-args,no-args,llvm19,yes,N/A,yes
durbin,llvm19-no-args,no-args,llvm19,yes,N/A,yes
floyd-warshall,llvm19-no-args,no-args,llvm19,yes,N/A,yes
deriche,llvm19-no-args,no-args,llvm19,yes,N/A,yes
gramschmidt,llvm19-no-args,no-args,llvm19,yes,N/A,yes
nussinov,llvm19-no-args,no-args,llvm19,yes,N/A,yes
bicg,llvm19-no-args,no-args,llvm19,yes,N/A,yes
ludcmp,llvm19-no-args,no-args,llvm19,yes,N/A,yes
mvt,llvm19-no-args,no-args,llvm19,yes,N/A,yes
correlation,llvm19-no-args,no-args,llvm19,yes,N/A,yes
2mm,llvm19-no-args,no-args,llvm19,yes,N/A,yes
syr2k,llvm19-no-args,no-args,llvm19,yes,N/A,yes
gesummv,llvm19-no-args,no-args,llvm19,yes,N/A,yes
trisolv,llvm19-no-args,no-args,llvm19,yes,N/A,yes
heat-3d,llvm19-no-args,no-args,llvm19,yes,N/A,yes
trmm,llvm19-no-args,no-args,llvm19,yes,N/A,yes
jacobi-1d,llvm19-no-args,no-args,llvm19,yes,N/A,yes
seidel-2d,llvm19-no-args,no-args,llvm19,yes,N/A,yes
covariance,llvm19-no-args,no-args,llvm19,yes,N/A,yes
lu,llvm19-no-args,no-args,llvm19,yes,N/A,yes
fdtd-2d,llvm19-no-args,no-args,llvm19,yes,N/A,yes
adi,llvm19-no-args,no-args,llvm19,yes,N/A,yes
cholesky,llvm19-no-args,no-args,llvm19,yes,N/A,yes
atax,llvm19-no-args,no-args,llvm19,yes,N/A,yes
gemver,llvm19-no-args,no-args,llvm19,yes,N/A,yes
jacobi-2d,llvm19-no-args,no-args,llvm19,yes,N/A,yes
symm,llvm19-no-args,no-args,llvm19,yes,N/A,yes
syrk,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
gemm,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
3mm,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,no
doitgen,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,no
durbin,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
floyd-warshall,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
deriche,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,no
gramschmidt,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
nussinov,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
bicg,llvm19-affine-loop-fusion,affine-loop-fusion,llvm19,yes,N/A,yes
