name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,1.02,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029820,0.069785,0.002629,0.13,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.197195,0.459356,0.012238,0.69,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.174019,0.435394,0.018615,0.65,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.257785,0.547355,0.014202,0.85,69052,173942,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012259,0.046198,0.001171,0.08,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.397158,6.387105,0.316898,10.17,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.133624,0.295648,0.007875,0.48,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.114845,0.293296,0.009185,0.44,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm19-affine-loop-fusion,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066682,0.155363,0.004169,0.25,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm19-affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
