name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.159435,0.368298,0.009610,0.57,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030324,0.067074,0.002810,0.13,9993,24408,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.204889,0.430816,0.012969,0.67,59167,141636,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.177719,0.374561,0.018976,0.59,31902,118373,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.250511,0.540398,0.014512,0.83,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.015309,0.031840,0.001037,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.433017,6.100208,0.297638,9.88,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.134758,0.298892,0.007886,0.51,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.116639,0.230103,0.009285,0.39,31899,71870,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.067692,0.158570,0.004194,0.25,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
correlation,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.163577,0.374057,0.010809,0.58,48206,121818,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
mvt,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030360,0.070496,0.002762,0.15,9945,25956,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
seidel-2d,llvm19-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c,pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.941162,2.918187,0.082237,3.98,89775,956188,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/seidel-2d-interp.c pact26-mini-initial-exp/llvm19-affine-loop-inv-code-motion/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
