name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.152016,0.369974,0.009547,0.56,47630,118894,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030017,0.074559,0.002621,0.14,9993,25991,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.195953,0.466755,0.012157,0.7,59167,150477,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.162672,0.443300,0.018277,0.65,31902,135779,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.247055,0.556996,0.014344,0.84,69052,174115,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.011991,0.034377,0.001025,0.07,3497,12477,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/floyd-warshall-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,10.32,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.138008,0.284870,0.007706,0.46,36172,91135,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.115518,0.287763,0.009207,0.44,31899,89276,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm21-affine-tile,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm21-affine-tile/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066318,0.168936,0.004133,0.26,20201,50542,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm21-affine-tile/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
