name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.158607,0.350247,0.009679,0.55,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.035731,0.069145,0.002603,0.14,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.209962,0.454229,0.012297,0.7,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167718,0.447885,0.018330,0.66,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.249250,0.537765,0.014420,0.83,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012080,0.031094,0.001039,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/floyd-warshall-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,9.07,N/A,N/A,N/A,N/A,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.131103,0.276106,0.007766,0.44,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.117353,0.278139,0.009183,0.43,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm21-affine-unroll-jam,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066304,0.177408,0.004128,0.27,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll-jam/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
