name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.151180,0.342272,0.009633,0.53,47630,107763,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029813,0.070406,0.002635,0.13,9993,23814,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.196314,0.455418,0.012792,0.69,59167,136524,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.179398,0.491954,0.018823,0.72,31902,140502,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.245712,0.664815,0.014230,0.95,69052,186026,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.011993,0.030771,0.001004,0.07,3497,11634,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.359816,5.748233,0.301342,9.45,662652,1796665,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.137330,0.347612,0.008186,0.52,36172,97136,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.116493,0.318617,0.009224,0.47,31899,93999,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066785,0.207390,0.004226,0.3,20201,61317,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
correlation,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.188859,0.362459,0.010631,0.59,48206,111601,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/correlation-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
mvt,llvm21-affine-unroll,generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c,pact26-mini-initial-exp/llvm21-affine-unroll/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.030081,0.066153,0.002653,0.13,9945,23559,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/mvt-interp.c pact26-mini-initial-exp/llvm21-affine-unroll/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
