name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.150891,0.351146,0.009474,0.54,47630,119311,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029198,0.073097,0.002563,0.14,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.215692,0.446277,0.011826,0.7,59167,151373,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167059,0.433588,0.018021,0.64,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.244430,0.547491,0.013859,0.83,69052,175003,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.012542,0.033988,0.001086,0.07,3497,13591,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.320750,5.914086,0.286465,9.57,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.128034,0.275248,0.007602,0.45,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.114135,0.270843,0.009039,0.42,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm23-affine-normalize,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm23-affine-normalize/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066538,0.183427,0.004136,0.28,20201,62514,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm23-affine-normalize/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
