name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.165321,0.342653,0.009385,0.54,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029725,0.068176,0.002494,0.13,9993,25966,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.206761,0.445590,0.011787,0.69,59167,150471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.167044,0.438040,0.018072,0.65,31902,135773,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.246381,0.524262,0.013904,0.81,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.017427,0.031077,0.001039,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.262808,5.916075,0.283073,9.5,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.129007,0.277923,0.007441,0.45,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.113955,0.270261,0.008989,0.42,31899,89270,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm23-no-args,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm23-no-args/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.065729,0.154569,0.003993,0.25,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm23-no-args/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
