bench,optionset,mliropt_args,mlir_opt_version,flag_did_nothing,correct,error
2mm,no-args,,llvm19,yes,yes,
3mm,no-args,,llvm19,yes,yes,
atax,no-args,,llvm19,yes,yes,
bicg,no-args,,llvm19,yes,yes,
cholesky,no-args,,llvm19,yes,yes,
correlation,no-args,,llvm19,yes,yes,
covariance,no-args,,llvm19,yes,yes,
deriche,no-args,,llvm19,yes,yes,
doitgen,no-args,,llvm19,yes,yes,
fdtd-2d,no-args,,llvm19,yes,yes,
floyd-warshall,no-args,,llvm19,yes,yes,
gemm,no-args,,llvm19,yes,yes,
gemver,no-args,,llvm19,yes,yes,
gesummv,no-args,,llvm19,yes,yes,
gramschmidt,no-args,,llvm19,yes,yes,
heat-3d,no-args,,llvm19,yes,yes,
jacobi-1d,no-args,,llvm19,yes,yes,
jacobi-2d,no-args,,llvm19,yes,yes,
lu,no-args,,llvm19,yes,yes,
ludcmp,no-args,,llvm19,yes,yes,
mvt,no-args,,llvm19,yes,yes,
nussinov,no-args,,llvm19,yes,yes,
seidel-2d,no-args,,llvm19,yes,yes,
symm,no-args,,llvm19,yes,yes,
syr2k,no-args,,llvm19,yes,yes,
syrk,no-args,,llvm19,yes,yes,
trisolv,no-args,,llvm19,yes,yes,
trmm,no-args,,llvm19,yes,yes,
2mm,affine-loop-fusion, --affine-loop-fusion,llvm19,no,yes,
3mm,affine-loop-fusion, --affine-loop-fusion,llvm19,no,yes,
atax,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
bicg,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
cholesky,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
correlation,affine-loop-fusion, --affine-loop-fusion,llvm19,no,no,out_of_bounds
covariance,affine-loop-fusion, --affine-loop-fusion,llvm19,no,no,tree_difference
deriche,affine-loop-fusion, --affine-loop-fusion,llvm19,no,no,tree_difference
doitgen,affine-loop-fusion, --affine-loop-fusion,llvm19,no,no,tree_difference
fdtd-2d,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
floyd-warshall,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
gemm,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
gemver,affine-loop-fusion, --affine-loop-fusion,llvm19,no,yes,
gesummv,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
gramschmidt,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
heat-3d,affine-loop-fusion, --affine-loop-fusion,llvm19,no,yes,
jacobi-1d,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
jacobi-2d,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
lu,affine-loop-fusion, --affine-loop-fusion,llvm19,no,yes,
ludcmp,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
mvt,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
nussinov,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
seidel-2d,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
symm,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
syr2k,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
syrk,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
trisolv,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
trmm,affine-loop-fusion, --affine-loop-fusion,llvm19,yes,yes,
2mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
3mm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
atax,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
bicg,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
cholesky,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
correlation,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
covariance,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
deriche,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
doitgen,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
fdtd-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
floyd-warshall,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
gemm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
gemver,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
gesummv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
gramschmidt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
heat-3d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
jacobi-1d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
jacobi-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
lu,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
ludcmp,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
mvt,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
nussinov,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
seidel-2d,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
symm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
syr2k,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
syrk,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,no,yes,
trisolv,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
trmm,affine-loop-inv-code-motion, --affine-loop-invariant-code-motion,llvm19,yes,yes,
2mm,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
3mm,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
atax,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
bicg,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
cholesky,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
correlation,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
covariance,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
deriche,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
doitgen,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
fdtd-2d,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
floyd-warshall,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
gemm,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
gemver,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
gesummv,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
gramschmidt,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
heat-3d,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
jacobi-1d,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
jacobi-2d,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
lu,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
ludcmp,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
mvt,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
nussinov,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
seidel-2d,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
symm,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
syr2k,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
syrk,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
trisolv,affine-normalize, --affine-loop-normalize,llvm19,yes,yes,
trmm,affine-normalize, --affine-loop-normalize,llvm19,no,yes,
2mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
3mm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
atax,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
bicg,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
cholesky,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
correlation,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
covariance,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
deriche,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
doitgen,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
fdtd-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
floyd-warshall,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,no,tree_difference
gemm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
gemver,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
gesummv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
gramschmidt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
heat-3d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
jacobi-1d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
jacobi-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
lu,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
ludcmp,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
mvt,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
nussinov,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,yes,yes,
seidel-2d,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,no,tree_difference
symm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
syr2k,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
syrk,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
trisolv,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
trmm,affine-tile," --affine-loop-tile=""tile-size=32""",llvm19,no,yes,
2mm,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
3mm,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
atax,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
bicg,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
cholesky,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
correlation,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
covariance,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
deriche,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
doitgen,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
fdtd-2d,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
floyd-warshall,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
gemm,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
gemver,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
gesummv,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
gramschmidt,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
heat-3d,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
jacobi-1d,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
jacobi-2d,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
lu,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
ludcmp,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
mvt,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
nussinov,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
seidel-2d,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
symm,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
syr2k,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
syrk,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
trisolv,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
trmm,affine-unroll, --affine-loop-unroll,llvm19,no,yes,
2mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
3mm,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
atax,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
bicg,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
cholesky,affine-unroll-jam, --affine-loop-unroll-jam,llvm19,yes,yes,
